"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
706444592,60821.355522,16.84,0.022,19.61,atlasc,ATLAS,666.8067692136219,13.511338074949503
706444593,60821.365811,16.894,0.021,19.58,atlasc,ATLAS,634.453795775715,12.271424359711862
706444594,60822.338389,16.894,0.021,19.62,atlasc,ATLAS,634.453795775715,12.271424359711862
706444595,60822.342035,16.884,0.021,19.62,atlasc,ATLAS,640.3243244689463,12.3849704513109
706444596,60822.347961,16.929,0.022,19.65,atlasc,ATLAS,614.3275612705213,12.447965066212621
706444597,60822.357767,16.857,0.023,19.59,atlasc,ATLAS,656.447501951699,13.90604133740989
705470370,60823.2245139,,,20.70599937438965,ztfr,ZTF,,18.94960886635665
705470485,60823.283402800094,17.21653031934399,0.0112658369618528,20.429007453746962,ztfg,ZTF,471.3981483257937,4.89133056435266
705470371,60823.283402800094,,,20.509899139404297,ztfg,ZTF,,22.700757231380507
706444598,60823.314667,16.562,0.028,18.67,atlaso,ATLAS,861.3903457724265,22.214355177555255
706444599,60823.31777,16.564,0.05,18.3,atlaso,ATLAS,859.8050666611739,39.59548658749542
706444600,60823.324208,16.549,0.021,19.19,atlaso,ATLAS,871.7661466018493,16.861452163435157
706444601,60823.33706,16.538,0.019,19.28,atlaso,ATLAS,880.6432284180629,15.410945372012025
706444602,60824.28327,16.623,0.017,19.59,atlaso,ATLAS,814.3291852092434,12.750423250038983
706444603,60824.28698,16.601,0.017,19.58,atlaso,ATLAS,830.998041044432,13.011417170989912
706444604,60824.301247,16.578,0.017,19.59,atlaso,ATLAS,848.7895030072438,13.28998838565727
706444605,60824.30679,16.597,0.018,19.54,atlaso,ATLAS,834.0651974086609,13.827643848995896
705470486,60825.19584489986,17.303802164666067,0.01287150776543959,20.371614396159167,ztfg,ZTF,434.98986085242177,5.156846890904521
705470372,60825.19584489986,,,20.3341007232666,ztfg,ZTF,,26.690684438418643
706444606,60825.303538,16.974,0.024,19.43,atlasc,ATLAS,589.3862502405804,13.028275140668342
706444607,60825.306749,16.969,0.022,19.5,atlasc,ATLAS,592.1067335646603,11.99771001587298
706444608,60825.312233,16.95,0.022,19.53,atlasc,ATLAS,602.5595860743575,12.20951354071221
706444609,60825.322139,16.957,0.022,19.62,atlasc,ATLAS,598.6872372480585,12.13104910910789
706444610,60826.287483,16.955,0.025,19.47,atlasc,ATLAS,599.79107625551,13.810699910967925
706444611,60826.290658,16.991,0.025,19.48,atlasc,ATLAS,580.2297599818735,13.360283958457753
706444612,60826.297003,16.972,0.026,19.43,atlasc,ATLAS,590.4729404069853,14.139987580133857
706444613,60826.307498,16.961,0.021,19.52,atlasc,ATLAS,596.4856499193785,11.5370553117895
706444614,60827.271605,16.61,0.02,19.5,atlaso,ATLAS,824.1381150130021,15.181185105577212
706444615,60827.275314,16.619,0.02,19.52,atlaso,ATLAS,817.3348179780709,15.055863742890466
706444616,60827.280857,16.616,0.018,19.51,atlaso,ATLAS,819.5963204818455,13.587769942662732
706444617,60827.295353,16.615,0.017,19.49,atlaso,ATLAS,820.3515443298185,12.844718811521695
706444618,60828.281312,,,16.08,atlaso,ATLAS,,1342.7649611378642
706444619,60828.285035,,,15.71,atlaso,ATLAS,,1887.9913490962906
706444620,60828.292311,,,15.79,atlaso,ATLAS,,1753.8805018417602
706444621,60828.302559,,,15.36,atlaso,ATLAS,,2606.153549998895
705470373,60828.30495369993,,,19.5310001373291,ztfg,ZTF,,55.92422123052685
705470503,60829.20314810006,17.384049258562,0.01667246368949249,20.17093559701959,ztfg,ZTF,403.9990060021694,6.203770979215653
705470467,60829.20314810006,,,19.947500228881836,ztfg,ZTF,,38.10657430620718
705470504,60829.21476850007,17.465115519091416,0.018937319422181124,20.11370504661295,ztfg,ZTF,374.93310835961876,6.5395516920604795
705470468,60829.21476850007,,,19.8085994720459,ztfg,ZTF,,43.30721052857362
706444622,60829.321755,16.695,0.027,19.15,atlaso,ATLAS,762.0790100254114,18.951319096216263
706444623,60829.32493,16.603,0.025,19.13,atlaso,ATLAS,829.4686950952613,19.099222524315724
706444624,60829.331812,16.589,0.025,19.07,atlaso,ATLAS,840.2335139076923,19.34709163757858
706444625,60829.34191,16.608,0.022,19.14,atlaso,ATLAS,825.6576326213254,16.730093219757443
706444626,60830.321759,16.986,0.291,16.64,atlaso,ATLAS,582.9079788672325,156.23152392542025
706444627,60830.324941,16.319,0.16,16.8,atlaso,ATLAS,1077.4571314563666,158.7799506708196
706444628,60830.33044,16.72,0.226,16.82,atlaso,ATLAS,744.7319739059889,155.01871022183326
706444629,60830.340535,,,15.68,atlaso,ATLAS,,1940.8858775927772
705470415,60831.20468749991,,,19.856800079345703,ztfg,ZTF,,41.4266646061283
705470505,60831.20516199991,17.324832438299904,0.018414842732874696,20.003798191819115,ztfg,ZTF,426.6453579114957,7.236202619218592
705470469,60831.20516199991,,,19.88719940185547,ztfg,ZTF,,40.28285464516589
